SOG,Duration
11.62942,1696
13.597321,1344
13.773736,1337
14.383977,1267
12.047037,1518
16.153823,1081
16.227431,1166
13.809068,1317
15.620643,1211
14.141192,1351
12.539418,1429
15.297394,1243
15.415829,1290
12.550778,1531
10.949845,1717
14.321248,1253
13.82361,1321
9.068861,2175
13.837019,1431
15.490515,1222
15.330402,1161
9.887368,1766
11.364793,1612
11.283117,2081
14.361369,1240
16.87581,1057
16.195359,1098
8.914018,2078
12.736107,1906
12.446703,1596
14.423224,1360
14.089501,1286
16.173311,1068
14.580759,1186
12.356566,1484
7.869216,2323
14.991618,1226
14.088601,1251
11.946273,1539
11.639211,1576
12.689117,1446
14.737108,1214
15.615713,1200
14.817253,1280
12.794644,1423
10.107606,1960
11.632012,1643
11.561357,1694
12.281742,1535
11.497248,1617
11.807604,1899
9.474223,1961
12.223697,1542
9.971771,1972
9.377623,2215
11.665231,1645
14.255747,1286
8.764909,2266
11.521086,1800
14.600911,1295
15.378128,1198
12.675186,1435
10.12405,1843
15.75373,1186
11.020778,1637
15.892027,1141
11.854094,1574
12.94402,2124
10.552068,1751
13.318671,1436
14.23025,1286
12.251839,1496
12.804735,1435
11.976694,1552
14.07426,1242
11.093901,1677
14.348576,1294
15.132329,1146
8.566532,2190
13.996866,1288
14.729688,1230
12.047037,1518
16.839636,1082
10.782646,1717
13.416292,1316
13.858218,1347
13.405512,1414
11.719515,1687
15.035204,1268
13.303577,1376
13.439567,1406
12.978344,1404
12.594317,1529
14.280517,1294
8.914018,2078
11.213405,1748
11.257367,1635
8.956354,2043
14.869565,1115
17.234743,1072
14.443651,1268
14.737108,1214
15.615713,1200
12.86227,1453
14.817253,1280
13.378225,1378
7.869216,2323
14.991618,1226
14.361605,1277
11.587373,1769
15.101874,1251
13.598064,1320
10.429481,1774
11.497248,1617
15.467222,1169
14.808731,1217
15.56865,1163
16.195371,1123
15.451222,1172
13.159828,1384
11.854094,1574
10.911773,1708
11.946273,1539
14.039877,1331
11.367521,2319
14.477756,1266
11.807604,1899
14.42093,1249
10.05182,1507
14.35905,1272
11.601346,1582
14.568631,1278
13.907892,1320
11.639211,1576
13.950472,1310
11.37536,1641
11.165965,1643
15.306233,1163
12.689117,1446
12.736107,1468
14.080935,1294
14.477074,1255
10.778409,1690
10.378776,1764
11.744214,1538
10.005249,1708
12.504837,1393
10.008874,1856
15.343678,1172
11.339275,1587
11.747769,1523
15.457118,1179
11.486306,1614
11.30932,1696
11.105532,1676
10.639889,1726
13.874194,1337
13.747103,1368
11.836508,1552
15.685851,1164
12.223697,1542
14.304579,1293
10.529162,1774
11.939776,2401
13.554844,1347
12.397942,1473
14.088601,1251
10.949718,2032
12.205031,1503
10.465964,1785
12.999553,1387
11.744687,2351
11.989856,1536
13.131641,1393
12.512685,1462
13.38081,1357
12.898179,1559
9.612386,1941
12.071917,1404
12.956706,1406
16.429412,1093
11.840831,1506
10.659083,1678
11.622317,1550
13.763709,1403
11.422259,1680
16.500865,1112
14.592705,1269
11.829892,1540
12.66243,1368
14.407803,1251
12.291413,1458
11.11653,1640
13.029872,1396
15.577441,1135
11.35597,1679
11.725474,1570
10.003134,1906
14.265116,1260
15.887418,1161
14.13514,1305
12.819175,1394
12.892733,1416
11.051917,1743
11.632012,1643
14.067777,1294
13.377959,1356
12.071649,1532
13.573907,1361
14.669481,1212
13.676194,1329
11.265512,1615
10.823087,1681
10.089853,1831
14.065895,1300
10.107606,1960
10.727072,1681
9.590814,1914
9.35496,2116
15.728257,1170
9.383667,1974
14.888713,1391
14.594552,1444
15.837332,1302
11.935375,1761
11.148287,1867
11.75841,1778
13.30842,1590
10.793587,2030
15.024324,1421
10.890406,1951
15.113729,1384
15.172765,1404
13.938137,1500
7.589672,2556
12.297747,1734
10.620904,1941
8.573148,2592
12.789332,1653
11.445233,1844
9.924972,2070
10.793855,1886
11.201303,1973
11.396477,1987
10.423005,2120
16.982458,1241
8.618138,2389
10.436238,2034
12.776429,1601
8.939478,2533
14.066339,1525
14.410277,1431
10.079213,2066
15.152518,2543
10.331592,2064
11.287951,1848
9.207403,2440
9.907532,2107
12.426036,1622
10.575723,1961
15.116589,2590
16.501344,1265
9.050448,2376
10.717862,1967
9.869019,2147
8.793228,2513
11.811949,1771
10.328385,1945
9.341626,2276
9.64387,2144
10.183152,2024
12.319761,1741
11.74859,1759
11.056471,1949
12.001519,1796
11.642504,1785
9.403076,2261
12.481473,1721
15.417275,1379
13.264633,1614
13.264633,1614
12.640778,1712
12.640778,1712
16.328942,1290
16.347227,1311
17.652602,1211
10.286265,2060
10.295404,2049
11.870824,1801
17.112281,1232
12.395871,1684
16.692076,1247
10.998378,1835
14.694931,1425
15.515714,1356
11.697794,1994
10.642723,1972
10.343544,2010
14.262391,1462
9.866456,2097
16.643617,1251
11.356569,1853
8.47203,2446
14.874563,1442
9.479942,2190
9.024733,2307
8.973195,2334
8.301115,2609
9.439655,2224
10.298466,2041
16.117506,2631
15.860794,1339
11.976681,1705
16.05138,2399
14.580052,2593
14.933083,1409
14.326262,2502
10.61296,1990
9.510899,2172
16.553714,1279
9.041365,2217
15.461351,1353
14.860289,1407
14.553152,1427
8.53062,2510
10.622836,2209
9.340531,2252
15.552273,2390
10.826411,2133
8.609151,2365
13.075703,1623
15.462576,1388
13.431485,1587
13.431485,1587
13.100949,1615
14.961604,1404
8.618423,2320
10.472545,1918
14.229652,1482
14.567178,2401
14.090246,1500
9.989905,2073
12.894521,1629
11.497531,1763
8.486786,2555
12.501147,1692
13.910311,1525
10.118775,2040
14.874774,1404
13.21066,1613
10.561278,2033
9.116313,2361
11.125056,1864
9.986501,2116
12.669772,1703
16.031972,1328
14.046178,1524
8.166284,2593
13.720055,1567
16.166857,1302
10.657695,2046
10.546125,1989
9.017629,2293
14.26992,1494
12.697085,1536
15.033295,1357
10.134146,2026
9.061127,2237
8.573448,2329
11.170248,1927
8.251661,2433
9.091621,2176
13.294951,1580
12.864848,1655
13.443789,1567
11.11752,1933
8.590539,2422
10.620183,1979
12.881959,1559
8.122554,2629
14.877989,1393
14.227647,1504
8.388036,2502
10.315901,2143
14.658726,1462
12.095723,1817
15.341005,1377
10.646442,1925
15.232801,1382
14.082881,1521
9.044728,2285
10.216208,2051
14.576161,1476
15.740538,1319
8.94001,2408
10.953285,1896
9.816141,2209
9.805791,2149
15.61082,1388
13.564303,1605
14.830662,2236
10.891708,1907
13.578933,1592
11.39572,1799
15.008075,1426
10.380749,2029
12.994949,1591
8.407863,2606
15.65932,1330
13.028018,1691
12.696471,1636
14.833333,1400
14.74461,2601
13.029026,1650
12.776884,1649
14.069515,1468
14.375102,1502
13.191982,1518
17.307328,1179
9.467017,2205
10.198938,2046
17.658284,1168
14.50377,1455
17.845094,1192
11.286716,1854
10.523799,1933
9.07873,2371
11.083723,1908
14.306535,1517
17.338863,1192
10.134733,2111
8.473604,2450
18.016971,1178
13.69657,1522
15.762717,2554
12.306838,1773
8.989973,2331
15.62536,1417
10.309403,1973
9.29962,2231
8.251931,2530
9.53437,2264
9.9125,2134
10.956468,1932
17.843995,1144
11.793376,1838
13.112247,1616
11.220952,1857
13.424177,1599
12.884514,1569
11.123459,1867
10.859111,1903
10.511382,2096
10.961894,1968
9.072102,2394
12.018783,1764
10.607314,2046
14.516951,1448
8.356971,2584
8.401255,2531
11.347442,1888
15.84303,1345
8.701274,2424
10.621221,1953
13.804069,1507
15.870211,1307
16.095258,1300
12.088415,1742
14.6031,1439
11.205536,1878
11.175985,1869
16.344268,1267
14.692413,1405
11.054722,1881
16.181219,1280
15.731483,1335
14.536969,1454
13.465264,1568
16.746834,1243
14.868876,1411
12.599219,1668
13.647502,1519
13.856055,1518
11.488126,1834
13.115385,1669
10.437165,2021
10.473469,2012
10.473668,2003
10.533488,1978
14.823961,1409
11.220975,1854
9.175099,2244
10.926359,1905
10.245429,2054
11.908322,1766
12.773094,1612
13.147854,1590
12.947365,1616
14.225601,1456
14.04781,1484
16.160705,1302
15.537303,1333
15.686866,2594
13.191982,1518
15.671399,1343
11.316972,1902
15.62536,1382
15.61082,1362
8.738045,2402
9.571305,2247
11.793376,1820
9.611474,2232
10.37139,2048
13.58038,1560
9.489362,2155
14.830662,1437
9.29962,2231
15.008075,1405
12.994949,1564
9.53437,2264
16.101977,1296
15.65932,1330
11.253859,1866
14.79707,1433
10.153959,1992
9.525808,2200
11.199171,1837
11.347442,1888
8.701274,2424
10.679558,1909
10.621221,1953
9.625798,2151
15.056778,2723
10.744444,1925
12.973103,1599
11.031525,1880
10.176176,2079
14.516951,1448
8.956174,2403
16.095258,1300
8.356971,2584
15.686866,2594
15.62536,1382
11.378216,1796
9.163305,2291
9.567713,2152
15.84303,1345
8.764943,2432
13.856055,1518
13.115385,1669
9.763363,2162
9.175099,2244
10.04502,2172
13.290966,1587
8.716237,2352
11.436412,1835
10.373413,1936
9.629683,2190
10.320453,2044
8.738045,2402
8.401255,2531
11.793376,1820
9.611474,2232
14.417177,1448
9.55032,2241
10.37139,2048
11.453728,1815
13.58038,1560
13.97942,1563
10.093377,2047
9.489362,2155
7.737672,2694
10.816605,1881
13.112247,1616
14.094157,1451
11.220952,1838
13.424177,1565
10.395223,1980
11.316972,1902
14.6031,1439
14.860666,1519
9.704345,2095
9.388878,2241
10.915564,1963
10.511382,2071
9.007471,2523
14.214984,1507
10.961894,1968
9.072102,2394
12.018783,1764
15.080016,2710
10.607314,2024
9.945786,2158
7.996979,2605
14.128196,1492
9.843912,2125
11.694855,1790
10.549304,1985
9.317544,2243
8.873696,2371
9.023228,2271
9.735112,2283
10.35392,1994
10.173782,2159
11.968571,1801
15.481233,1365
9.332413,2219
9.378407,2216
13.031654,1618
8.392661,2480
9.771592,2157
7.873767,2527
9.791614,2140
11.443558,1777
11.169848,1894
13.694778,518
13.26968,529
15.773441,433
14.895228,462
13.41451,513
15.668778,442
11.22836,680
13.349432,527
14.711642,480
12.335233,577
11.126803,637
13.699419,517
13.693654,519
13.03181,547
13.073105,553
12.237983,604
12.886596,567
13.103019,529
13.841779,517
11.803015,596
12.250179,564
13.070356,537
12.853902,550
14.438376,495
12.444286,605
12.231092,594
11.233953,644
12.499038,573
12.481188,559
14.512941,498
10.86,673
16,435
12.868085,563
12.616292,495
12.39966,587
11.911021,616
13.08361,542
10.965465,665
12.872647,562
12.872647,562
12.872647,562
12.506518,582
12.506518,582
12.506518,582
13.079891,551
13.079891,551
13.079891,551
12.087557,660
11.706897,608
11.706897,608
11.706897,608
10.472261,721
12.221839,608
14.679476,544
11.875294,597
14.089412,508
15.402548,470
15.354176,466
13.53806,535
11.389889,633
10.239148,751
12.551087,554
12.551087,554
8.838393,783
15.021325,481
9.347937,712
9.846373,779
13.16125,562
9.435977,682
12.09719,677
9.572394,710
10.220584,684
12.831327,566
13.311321,585
9.535213,726
9.371196,736
10.221536,680
8.54323,804
11.052327,622
9.161792,759
10.667445,641
10.649685,633
10.442065,648
8.865241,725
11.46486,572
10.982072,608
10.265847,690
9.834851,704
8.946842,764
12.536661,580
12.741308,534
8.430995,783
10.476788,741
14.910316,475
13.489492,570
10.095181,663
13.791373,509
12.383538,578
10.928354,634
12.873404,561
11.082039,615
14.774877,497
8.488197,771
13.615278,527
8.231408,786
11.113478,605
12.734915,764
10.951698,660
13.130127,550
12.24188,585
10.388321,491
12.246864,573
9.708989,714
12.504973,562
9.088538,760
10.502428,658
10.808424,641
13.623745,523
8.628571,772
8.806029,762
13.319057,530
9.336131,703
12.063065,597
8.326271,802
10.271575,646
8.648593,781
8.677836,767
12.040513,585
14.203536,508
8.644631,788
13.912375,505
12.300485,588
13.090244,539
12.658065,552
10.150382,655
13.148736,553
9.65235,766
9.961933,682
15.287212,476
9.151334,787
12.039875,642
13.155616,554
9.518707,727
8.809936,784
12.378098,595
10.120266,678
9.154749,758
12.987679,559
13.843264,529
13.868138,522
12.87977,607
13.952896,518
12.909178,585
13.219891,547
