shiptype,Length,Breadth,Draught,SOG,TotalDistance,Duration,Route,Direct
71,169,27,8.74,14.356299,353.602225,1281,ROT_HAM,1
70,222,32,9.37,11.535,366.593237,1973,ROT_HAM,1
70,165,28,7.81,14.286338,355.487664,1305,ROT_HAM,1
79,335,44,12.64,11.134557,363.53298,1648,ROT_HAM,1
70,165,28,7.81,15.669347,360.33956,1192,ROT_HAM,1
79,275,40,11.7,13.622486,354.001434,1356,ROT_HAM,1
70,165,28,7.81,17.593204,357.039497,1049,ROT_HAM,1
71,118,18,6.51,12.233163,337.049561,2535,ROT_HAM,1
70,83,12,4.54,10.160842,378.447538,1941,ROT_HAM,1
70,222,32,9.37,14.130756,372.945753,1402,ROT_HAM,1
70,165,28,7.81,16.106995,356.118718,1137,ROT_HAM,1
70,399,54,12.99,15.627281,353.397274,1158,ROT_HAM,1
79,165,28,7.81,16.50671,360.578139,1117,ROT_HAM,1
70,366,48,12.42,9.057098,414.718361,2314,ROT_HAM,0
79,165,28,7.702619,17.711565,317.604664,1019,ROT_HAM,1
70,138,21,6.199746,12.62608,952.308507,10207,ROT_HAM,0
79,165,28,7.81,14.566667,322.813687,2530,ROT_HAM,1
79,275,40,11.7,11.013285,342.167838,1646,ROT_HAM,1
70,277,40,11.22,12.764163,349.05585,1498,ROT_HAM,1
70,82,12,4.72,8.99916,311.684726,1968,ROT_HAM,1
79,165,28,7.81,14.651637,334.045699,1294,ROT_HAM,1
71,243,32,9.95,12.490909,312.421444,1432,ROT_HAM,1
71,273,40,10.6,13.616583,363.561142,1355,ROT_HAM,1
79,165,28,7.899177,16.316463,357.238071,1158,ROT_HAM,1
70,129,16,4.403829,11.900762,331.662517,6430,ROT_HAM,1
79,275,40,12.8,12.580527,353.426256,1439,ROT_HAM,1
71,398,56,11.3,13.311316,349.009232,1352,ROT_HAM,1
70,165,28,7.81,14.44728,339.645569,1261,ROT_HAM,1
79,366,48,11.56,13.218732,386.274924,1510,ROT_HAM,1
73,240,32,8.49,14.623339,361.931879,1283,ROT_HAM,1
70,86,12,4.52,11.138008,353.748819,1616,ROT_HAM,1
71,337,48,13.88,12.340593,366.894015,1479,ROT_HAM,1
71,169,27,8.74,14.062606,357.945425,1288,ROT_HAM,1
70,366,48,13.38,10.403448,356.447412,1754,ROT_HAM,1
79,275,40,11.7,11.740272,351.322129,1526,ROT_HAM,1
71,118,18,6.51,15.8175,360.626074,1201,ROT_HAM,1
71,261,32,?,13.647256,359.222535,1368,ROT_HAM,1
70,366,48,12.42,11.621892,359.224596,1605,ROT_HAM,1
71,118,18,6.51,16.444356,340.147411,1099,ROT_HAM,1
74,300,48,9.66,13.936842,344.748207,1309,ROT_HAM,1
70,273,40,11.51,14.726696,359.484447,1266,ROT_HAM,1
71,400,59,13.8,11.448689,422.855768,1853,ROT_HAM,0
70,255,37,11.49,13.711653,360.11766,1364,ROT_HAM,1
