TotalDistance,Duration,Direct
554.363272,7070,0
373.369122,2070,1
381.074237,1886,1
410.339723,1973,1
385.517253,1987,0
402.284513,2120,1
430.553453,4840,0
212.276889,5879,1
911.562131,7135,0
472.087646,7117,0
469.237174,7237,0
394.914772,1241,1
399.009457,2389,1
477.639521,5916,0
411.185361,2034,1
438.356819,7102,0
398.912496,1601,1
552.153773,3131,0
414.405634,2533,0
391.31951,1525,1
394.811713,2866,1
460.788894,3587,0
497.997453,2983,0
633.488654,13425,0
387.782414,1431,1
402.186187,2066,1
454.85808,2840,0
568.158021,6974,0
551.134029,2543,0
401.050887,2064,1
396.624375,3665,1
434.028432,7594,0
398.879548,2797,1
397.25289,1848,1
402.309858,2440,0
502.300563,6867,0
380.86416,2107,1
382.097314,3297,1
355.751532,1622,1
377.416794,1961,1
526.924453,9593,0
1243.684382,6003,0
462.813214,2590,0
513.165563,2811,0
385.556903,1265,1
894.623958,9674,0
443.868377,4921,0
398.425787,2376,1
395.18566,1967,1
391.301222,2147,1
402.001693,2513,1
470.277102,6056,0
521.100531,8028,0
477.777569,2796,0
465.728351,8308,0
393.492824,1771,1
380.001601,1945,1
406.16282,2276,1
570.271327,9135,0
363.855366,2144,1
500.565242,8339,0
459.412153,9146,0
359.823206,2024,1
431.541959,3988,0
376.436331,1741,0
368.018285,1759,1
370.10468,1949,1
400.194981,1796,0
386.896808,1785,1
392.779789,2261,1
729.874072,8670,0
404.462353,1721,0
393.201444,1379,0
401.438995,1614,0
400.995528,1614,0
409.487691,1712,0
409.487691,1712,0
387.335673,1290,1
397.846198,1311,1
438.176218,7031,0
402.897863,1211,1
418.271951,2060,1
395.440233,2049,1
552.472399,9542,0
397.451436,1801,1
394.213591,1232,1
385.940549,1684,1
374.584914,1247,1
480.294663,8609,0
359.768207,1835,1
388.708854,1425,1
399.210345,1356,1
406.404209,1994,0
373.609429,1972,1
398.98928,2010,1
383.864587,1462,1
390.125965,2097,1
387.748384,1251,1
454.365552,5475,0
498.704326,8334,0
482.697229,14071,0
398.167512,1853,1
394.374718,2446,1
412.19148,1442,1
871.565966,9804,0
384.188044,2190,1
392.720852,2307,1
476.469409,7891,0
393.178461,2334,1
379.149255,2609,1
372.785185,2224,1
505.654284,4908,0
402.774081,2041,1
445.106819,12142,0
534.544731,2631,0
395.752789,1339,1
389.82159,1705,1
477.260507,2399,0
496.118924,2593,0
392.484138,1409,1
509.584897,2502,0
394.934903,1990,1
383.116316,2172,1
388.011612,1279,1
378.974388,2217,1
569.848459,3063,0
1414.54997,1353,0
475.473584,2856,0
393.651377,1407,1
506.799153,2728,0
372.903857,1427,1
580.349921,6904,0
407.990145,2510,1
410.1457,2209,0
466.840028,8005,0
372.7619,2252,1
482.299612,2390,0
394.144149,2133,1
386.578392,2365,1
517.807129,3725,0
394.826427,1623,1
395.551248,1388,1
401.754421,1587,1
401.754421,1587,1
438.030806,12562,0
480.409553,6963,0
392.775877,1615,1
396.652071,1404,1
368.75759,2320,1
393.121992,1918,1
394.02082,1482,1
416.027867,2401,0
390.901961,1500,1
384.359377,2073,1
399.182425,1629,1
385.978229,2868,1
428.787564,6087,0
383.29136,1763,1
411.0254,2555,1
398.270962,1692,1
482.847526,12073,0
390.644813,1525,1
388.234318,2040,1
389.203934,1404,1
403.114152,1613,1
413.84428,2033,1
399.274188,2361,1
397.743084,1864,1
386.65263,2116,1
488.97997,4941,1
418.666097,1703,0
379.680419,1328,1
451.251306,7570,0
472.570835,10547,0
366.639466,1524,1
383.274341,2593,1
367.462932,1567,1
362.494069,1302,1
423.419567,5528,0
406.170233,2046,1
389.573806,1989,1
379.411958,2293,1
394.734119,1494,1
387.665747,1536,1
385.278925,1357,1
383.762432,2026,1
367.351826,2237,1
369.599426,2329,1
414.517218,1927,0
501.886769,7971,0
382.685769,2433,1
210.610794,3095,1
383.364266,2176,1
391.981502,1580,1
414.062435,1655,1
394.105272,1567,1
412.529381,1933,1
397.530631,2422,1
394.733866,3231,1
390.390901,1979,1
515.679915,6464,0
382.870358,1559,1
411.872232,2629,0
687.672177,9676,0
386.374606,1393,1
445.423239,2848,0
383.480423,1504,1
379.845346,2502,1
392.203158,2143,1
452.951065,12358,0
370.714008,1462,0
375.792537,1817,1
396.048791,1377,1
501.838207,7045,0
379.595677,1925,1
390.192345,1382,1
401.402151,1521,1
494.458488,5357,0
405.334211,2285,1
393.156435,2051,1
400.83474,1476,0
388.619371,1319,1
412.471045,2408,1
392.182548,1896,1
405.872651,2209,1
407.56859,2149,1
403.106746,1388,1
379.155614,1605,0
395.638494,2236,1
394.542057,1907,1
392.092962,1592,0
375.675867,1799,1
371.327501,1426,1
391.865222,2029,1
408.517751,1591,1
404.844305,2606,0
387.166389,1330,1
445.67129,6464,0
387.409327,1691,1
386.493195,1636,1
384.310439,1400,1
497.505587,2601,0
387.803549,1650,1
396.786171,1649,1
387.476827,1468,1
416.812098,1502,1
432.254447,9245,0
388.905226,1518,1
381.902019,1179,1
389.683115,2205,1
379.52927,2046,1
444.549044,10671,0
383.328137,1168,1
396.556954,1455,1
388.591454,1192,1
412.886282,1854,1
381.496444,1933,1
396.776825,2371,1
389.892975,1908,1
